21004 12936 1
13615 2069 1
2069 27181 1
27181 22739 1
8733 20534 1
25114 2908 1
2908 4802 1
4802 14428 1
14428 10413 1
10413 32298 1
32298 26371 1
26371 25881 1
25881 26672 1
7010 77 1
77 3515 1
3688 3402 1
3402 3257 1
3257 2646 1
2646 484 1
7159 6565 1
23255 21806 1
21806 27948 1
28491 6843 1
464 3479 1
3479 2149 1
2149 2406 1
2406 2741 1
2741 15365 1
15365 6577 1
6577 24882 1
24882 33437 1
33437 31098 1
31098 33540 1
33540 8106 1
8106 8142 1
4135 13582 2
13582 1228 1
1228 1361 1
1361 1647 1
1647 28683 1
28683 15033 1
15033 30631 1
30631 20354 1
20354 18031 1
18031 3480 1
3480 8845 1
8845 24065 1
24065 20769 1
20769 2933 1
2933 31793 1
31793 7260 1
7260 11715 1
11715 898 1
898 591 1
591 6863 1
6863 554 1
554 26097 1
1228 25969 1
1033 473 2
473 287 2
287 1333 1
1333 1409 1
1115 1943 1
1943 4461 1
4461 1488 1
13035 158 1
4615 669 1
669 1187 1
1187 1861 1
818 19780 1
19780 171 1
171 37 2
37 374 1
374 672 1
672 5561 1
5561 3027 2
3027 13720 1
13720 5182 1
5182 12349 1
12349 5621 1
5621 2678 1
12349 5561 1
3027 672 1
672 31093 1
31093 13720 1
1861 1187 1
1187 3903 1
3903 810 1
5561 2542 1
246 317 1
317 850 1
850 13687 1
13687 101 1
101 235 1
235 536 4
536 185 1
185 623 4
623 1484 2
3 52 7
297 3168 1
13502 1141 1
1177 2885 4
941 31119 1
31119 12063 1
12063 1177 1
1177 2628 1
2628 378 1
378 13502 1
4223 63 1
217 413 1
878 12344 1
1129 12344 1
527 16 1
16 82 3
1177 16 1
4201 277 1
277 5889 1
12684 287 1
287 5649 1
5649 2465 2
322 3171 1
3290 494 1
494 2823 1
2823 615 2
1514 535 1
54 2823 1
8681 24219 1
24219 2740 1
2740 6420 1
6420 33843 1
33843 6714 1
694 459 1
459 384 2
384 77 1
77 730 2
13535 4696 1
4696 9851 1
16213 8 1
8 17729 1
17729 30335 1
2026 3983 2
3983 581 1
581 20 1
20 3329 1
23840 28057 1
1243 3509 1
3509 3842 1
22736 24800 1
22883 15534 1
25837 16943 1
16943 656 1
656 16394 1
16394 29945 1
29945 24305 1
876 656 1
656 20206 1
20206 30946 1
30946 2743 1
2743 6037 1
6037 15293 1
15293 8599 1
8599 25845 1
25845 20621 1
20621 24601 1
24601 11880 1
11880 12342 1
12342 33753 1
33753 18249 1
18249 20349 1
20349 18134 1
18134 14003 1
14003 13525 1
13525 7885 1
7885 16499 1
16499 8807 1
8807 22613 1
22613 16504 1
600 23112 1
23112 242 1
25553 6623 1
6623 4561 1
4561 23170 1
23170 33706 1
33706 27626 1
27626 12379 1
12379 25815 1
25815 27205 1
12379 6623 1
3961 2198 1
2198 2573 1
2573 5776 1
5776 7665 3
7665 6829 3
10784 7377 1
7377 9629 1
9629 9791 1
9791 478 1
7377 2802 2
2802 977 1
977 6317 1
6317 2270 1
2270 4640 1
4640 797 1
797 478 1
478 10784 1
10784 9629 1
9629 26487 1
26487 12324 1
12324 26915 1
26915 1799 1
1799 7782 1
7782 20268 1
16194 4373 1
4373 4771 1
4771 9668 1
3095 2358 1
1317 2358 1
2358 11030 1
11030 1152 1
1152 1020 1
1020 3096 1
3096 208 1
25738 28811 1
26101 16524 1
16524 2041 1
2041 20506 1
20506 21944 1
21944 9803 1
9803 12177 1
12177 411 1
411 29889 1
1273 4001 3
4001 5580 1
2111 5533 1
45 2140 1
280 18132 1
18132 11251 1
11251 2686 1
2686 1507 2
1507 7558 1
7558 4943 1
4943 5773 1
5773 5652 1
5652 30912 1
5121 6617 1
26994 29235 1
29235 4099 1
4099 34041 1
34041 6751 1
27574 17401 1
17401 6700 1
6700 3870 1
3870 2535 1
2535 8744 1
8744 653 1
653 11713 1
11713 3794 1
3794 30228 1
30228 6544 1
6544 25304 1
25304 33244 1
33244 8415 1
8415 5433 1
5433 17394 1
17394 24104 1
24104 7497 1
7497 15063 1
15063 11093 1
11093 15894 1
15894 20718 1
20718 7515 1
7515 19844 1
12453 22683 1
22683 3794 1
12453 653 1
653 6700 1
6700 10324 1
10324 5433 1
5433 12941 1
12941 6190 1
6190 7515 1
7515 12816 1
12816 3859 1
3859 10976 1
10976 11422 1
11422 8191 1
8191 11417 1
11417 11713 1
11713 9036 1
757 354 1
354 1759 1
1759 4926 1
4926 10184 1
10184 2492 1
2492 2782 1
2782 7115 1
7115 3770 2
255 2114 3
2114 653 1
653 2040 2
2040 5433 1
5433 10324 1
10324 13788 1
13788 6190 1
6190 12475 1
12475 8191 1
8191 21337 1
21337 20816 1
20816 757 1
757 2492 1
2492 10184 1
10184 7115 1
3770 29340 1
29340 15259 1
15259 14780 1
14780 31710 1
31710 1832 1
1832 27057 1
27057 2492 1
2492 3770 1
3770 12475 1
12475 11422 1
1079 121 1
121 481 1
481 205 2
205 1666 1
1666 1031 2
1031 226 1
121 134 4
134 148 4
148 481 2
3962 1304 1
1304 173 1
173 578 3
21003 323 1
13724 27856 1
27856 10190 1
3914 25087 1
25087 7257 1
7257 4739 1
4739 2082 1
2082 12199 1
12199 6389 1
6389 10924 1
220 20204 1
20204 8516 1
4347 4347 1
731 12699 1
12699 1302 1
1302 5224 1
5224 9463 1
9463 11382 1
32367 12604 1
32857 33527 1
33527 27202 1
1623 1512 1
1512 6543 1
6543 30455 1
30455 14077 1
14077 16425 1
16425 20270 1
20270 2992 1
2992 4038 1
4038 204 1
18263 32544 1
1959 832 1
2007 2347 1
2347 98 1
516 187 2
187 827 3
827 1078 1
1078 23 1
23 515 1
515 1990 1
1990 117 1
117 164 2
164 90 1
90 191 2
191 1829 1
4845 67 1
67 72 2
72 17 3
72 315 1
315 2854 1
19377 17880 1
17880 15600 1
15600 22041 1
22041 20568 1
20568 7858 1
